A Cresswell
C Fuchs
L Koscielny
M Antonio
N Chadli
K De\ Bruyne
N Kanté
R Pereyra
J King
( u ' N o l i t o ' , )
M Keane
A Ayew
S Boufal
K Mirallas
W Bony
A Gray
C Soares
A Boruc
T Heaton
